,Input,DCUNet,DPTNet,RegressionFCNN,SMoLnet,WaveUNet
10,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX49.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX49.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX49.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX49.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX49.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX49.WAV.n121.wav
11,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX49.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX49.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX49.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX49.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX49.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX49.WAV.n122.wav
12,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI499.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI499.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI499.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI499.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI499.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI499.WAV.n122.wav
13,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI499.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI499.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI499.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI499.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI499.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI499.WAV.n121.wav
14,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SA1.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SA1.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SA1.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SA1.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SA1.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SA1.WAV.n122.wav
15,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SA1.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SA1.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SA1.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SA1.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SA1.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SA1.WAV.n121.wav
16,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX229.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX229.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX229.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX229.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX229.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX229.WAV.n121.wav
17,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX229.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX229.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX229.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX229.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX229.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX229.WAV.n122.wav
18,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SA2.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SA2.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SA2.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SA2.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SA2.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SA2.WAV.n121.wav
19,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SA2.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SA2.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SA2.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SA2.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SA2.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SA2.WAV.n122.wav
20,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX20.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX20.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX20.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX20.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX20.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX20.WAV.n122.wav
21,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX20.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX20.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX20.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX20.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX20.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX20.WAV.n121.wav
22,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI740.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI740.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI740.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI740.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI740.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI740.WAV.n121.wav
23,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI740.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI740.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI740.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI740.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI740.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI740.WAV.n122.wav
24,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI2000.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI2000.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI2000.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI2000.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI2000.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI2000.WAV.n121.wav
25,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI2000.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI2000.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI2000.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI2000.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI2000.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI2000.WAV.n122.wav
26,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX200.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX200.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX200.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX200.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX200.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX200.WAV.n122.wav
27,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX200.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX200.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX200.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX200.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX200.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX200.WAV.n121.wav
28,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI1370.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI1370.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI1370.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI1370.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI1370.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI1370.WAV.n122.wav
29,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI1370.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI1370.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI1370.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI1370.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI1370.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI1370.WAV.n121.wav
30,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX380.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX380.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX380.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX380.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX380.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX380.WAV.n122.wav
